,features_tag,features
20,features_nfeats_40_split_0,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_posteriorcingulate', 'Volume_mm3_Left-Accumbens-area', 'lh_MeanThickness', 'GrayVol_lh_precentral', 'ThickAvg_rh_medialorbitofrontal', 'FoldInd_rh_rostralmiddlefrontal', 'ThickAvg_lh_parsopercularis', 'ThickAvg_lh_superiorfrontal', 'ThickAvg_rh_paracentral', 'GrayVol_rh_insula', 'GrayVol_lh_parstriangularis', 'GrayVol_lh_inferiorparietal', 'ThickAvg_rh_lingual', 'ThickAvg_rh_precentral', 'lhCortexVol', 'GrayVol_rh_middletemporal', 'GrayVol_rh_superiorfrontal', 'ThickAvg_lh_inferiorparietal', 'TotalGrayVol', 'CortexVol', 'rh_MeanThickness', 'ThickAvg_rh_supramarginal', 'ThickAvg_lh_precentral', 'GrayVol_lh_supramarginal', 'ThickAvg_rh_superiorfrontal', 'ThickAvg_rh_parsopercularis', 'GrayVol_rh_postcentral', 'ThickAvg_lh_paracentral', 'ThickAvg_rh_postcentral', 'GrayVol_rh_rostralmiddlefrontal', 'GrayVol_rh_caudalmiddlefrontal', 'SurfArea_lh_lateralorbitofrontal']"
21,features_nfeats_40_split_1,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3wm-lh-lateraloccipital', 'Volume_mm3_Left-Putamen', 'GrayVol_lh_lateralorbitofrontal', 'ThickStd_lh_medialorbitofrontal', 'ThickAvg_lh_parsopercularis', 'lh_MeanThickness', 'Volume_mm3_Right-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'ThickAvg_rh_insula', 'GrayVol_rh_middletemporal', 'GrayVol_rh_insula', 'GrayVol_rh_medialorbitofrontal', 'GrayVol_rh_inferiorparietal', 'GrayVol_rh_postcentral', 'ThickAvg_lh_precentral', 'ThickAvg_rh_parsopercularis', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_rh_lingual', 'rhCortexVol', 'GrayVol_rh_superiorfrontal', 'GrayVol_rh_rostralmiddlefrontal', 'ThickAvg_rh_precentral', 'ThickAvg_lh_paracentral', 'TotalGrayVol', 'ThickAvg_lh_insula', 'ThickAvg_rh_medialorbitofrontal', 'GrayVol_rh_supramarginal', 'GrayVol_lh_inferiortemporal', 'GrayVol_lh_precuneus', 'Volume_mm3_Right-Putamen', 'GrayVol_rh_caudalmiddlefrontal', 'FoldInd_rh_parsopercularis', 'GrayVol_rh_lateralorbitofrontal', 'Volume_mm3_Left-Caudate', 'GrayVol_lh_parstriangularis', 'GrayVol_lh_inferiorparietal']"
22,features_nfeats_40_split_2,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'Volume_mm3_Right-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickStd_lh_medialorbitofrontal', 'GrayVol_rh_precentral', 'ThickAvg_rh_precentral', 'FoldInd_rh_rostralmiddlefrontal', 'GrayVol_rh_insula', 'ThickAvg_lh_parstriangularis', 'lh_MeanThickness', 'ThickAvg_rh_insula', 'Volume_mm3_Left-Accumbens-area', 'ThickAvg_rh_rostralanteriorcingulate', 'GrayVol_rh_middletemporal', 'ThickAvg_lh_superiorfrontal', 'GrayVol_rh_superiorfrontal', 'FoldInd_lh_inferiorparietal', 'TotalGrayVol', 'ThickAvg_rh_parsopercularis', 'Volume_mm3_Right-Caudate', 'GrayVol_rh_parstriangularis', 'GrayVol_rh_supramarginal', 'Volume_mm3_Left-Thalamus-Proper', 'ThickAvg_lh_precentral', 'ThickStd_rh_superiorfrontal', 'GrayVol_rh_caudalmiddlefrontal', 'rhCortexVol', 'ThickAvg_lh_parsopercularis', 'GrayVol_lh_precuneus', 'GrayVol_rh_inferiorparietal', 'GrayVol_rh_medialorbitofrontal', 'GrayVol_rh_lateralorbitofrontal', 'FoldInd_rh_postcentral', 'GrayVol_lh_supramarginal', 'Volume_mm3_Right-Accumbens-area', 'GrayVol_lh_superiortemporal', 'ThickAvg_rh_supramarginal']"
23,features_nfeats_40_split_3,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'ThickAvg_lh_rostralanteriorcingulate', 'Volume_mm3_Right-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_rostralmiddlefrontal', 'FoldInd_lh_postcentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_rh_insula', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_rostralanteriorcingulate', 'GrayVol_rh_precentral', 'GrayVol_lh_parstriangularis', 'Volume_mm3_Left-Accumbens-area', 'GrayVol_rh_medialorbitofrontal', 'ThickAvg_lh_parstriangularis', 'lh_MeanThickness', 'ThickAvg_lh_precentral', 'ThickAvg_rh_insula', 'GrayVol_lh_rostralmiddlefrontal', 'SurfArea_lh_rostralmiddlefrontal', 'GrayVol_lh_insula', 'FoldInd_rh_rostralmiddlefrontal', 'CortexVol', 'ThickAvg_rh_supramarginal', 'TotalGrayVol', 'FoldInd_lh_inferiorparietal', 'Volume_mm3_Left-Putamen', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_postcentral', 'GrayVol_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'rh_MeanThickness', 'ThickAvg_rh_superiorfrontal', 'SurfArea_lh_lateralorbitofrontal']"
24,features_nfeats_40_split_4,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_medialorbitofrontal', 'ThickAvg_rh_rostralanteriorcingulate', 'Volume_mm3_Left-Accumbens-area', 'ThickAvg_lh_rostralmiddlefrontal', 'GrayVol_rh_insula', 'FoldInd_rh_rostralmiddlefrontal', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_precentral', 'GrayVol_rh_middletemporal', 'lh_MeanThickness', 'ThickAvg_rh_insula', 'ThickAvg_rh_precentral', 'ThickAvg_rh_superiorfrontal', 'GrayVol_rh_supramarginal', 'GrayVol_lh_parstriangularis', 'ThickStd_rh_superiorfrontal', 'ThickAvg_rh_supramarginal', 'GrayVol_rh_lateralorbitofrontal', 'ThickAvg_lh_parstriangularis', 'SurfArea_lh_inferiorparietal', 'GrayVol_rh_rostralmiddlefrontal', 'GausCurv_rh_isthmuscingulate', 'GrayVol_rh_superiorfrontal', 'ThickAvg_rh_medialorbitofrontal', 'FoldInd_lh_supramarginal', 'rhCortexVol', 'GrayVol_lh_lateralorbitofrontal', 'SurfArea_lh_lateralorbitofrontal', 'rh_MeanThickness', 'ThickAvg_rh_parsopercularis', 'ThickAvg_lh_precentral', 'TotalGrayVol', 'GrayVol_lh_precuneus', 'GrayVol_lh_rostralmiddlefrontal']"
25,features_nfeats_40_split_5,"['GrayVol_lh_superiorfrontal', 'ThickAvg_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'MeanCurv_rh_transversetemporal', 'ThickAvg_rh_medialorbitofrontal', 'ThickStd_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_lateralorbitofrontal', 'ThickAvg_lh_parstriangularis', 'ThickAvg_rh_paracentral', 'ThickAvg_rh_superiorfrontal', 'GrayVol_rh_posteriorcingulate', 'Volume_mm3_Right-Accumbens-area', 'SurfArea_rh_middletemporal', 'ThickAvg_lh_precentral', 'ThickAvg_lh_parsopercularis', 'lh_MeanThickness', 'GrayVol_lh_inferiorparietal', 'Volume_mm3_Right-Caudate', 'FoldInd_rh_rostralmiddlefrontal', 'CortexVol', 'TotalGrayVol', 'GrayVol_lh_lateralorbitofrontal', 'GrayVol_rh_supramarginal', 'GrayVol_rh_inferiorparietal', 'GrayVol_lh_parstriangularis', 'GrayVol_rh_inferiortemporal', 'GrayVol_rh_superiorfrontal', 'GrayVol_rh_middletemporal', 'GrayVol_lh_precuneus', 'GrayVol_rh_postcentral', 'SurfArea_lh_lateralorbitofrontal', 'GrayVol_lh_parsorbitalis', 'GrayVol_rh_precuneus', 'FoldInd_lh_postcentral', 'GrayVol_lh_postcentral', 'GrayVol_lh_rostralmiddlefrontal']"
26,features_nfeats_40_split_6,"['GrayVol_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'MeanCurv_rh_transversetemporal', 'ThickAvg_rh_medialorbitofrontal', 'ThickStd_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'ThickAvg_lh_parstriangularis', 'GrayVol_lh_lateralorbitofrontal', 'GrayVol_rh_middletemporal', 'lhCortexVol', 'FoldInd_rh_rostralmiddlefrontal', 'GrayVol_rh_supramarginal', 'ThickAvg_lh_insula', 'GrayVol_rh_posteriorcingulate', 'GrayVol_rh_superiorfrontal', 'ThickAvg_lh_precentral', 'Volume_mm3_Right-Caudate', 'GrayVol_lh_caudalanteriorcingulate', 'GrayVol_lh_parstriangularis', 'FoldInd_rh_inferiorparietal', 'GrayVol_rh_inferiortemporal', 'SurfArea_lh_rostralmiddlefrontal', 'GrayVol_lh_precuneus', 'ThickAvg_rh_parsopercularis', 'ThickAvg_lh_parsopercularis', 'Volume_mm3_Left-Accumbens-area', 'lh_MeanThickness', 'TotalGrayVol', 'FoldInd_rh_parsopercularis', 'FoldInd_lh_inferiorparietal', 'FoldInd_rh_precuneus', 'GrayVol_rh_postcentral', 'ThickAvg_lh_paracentral', 'SurfArea_lh_lateralorbitofrontal', 'GrayVol_rh_precuneus', 'GrayVol_lh_postcentral']"
27,features_nfeats_40_split_7,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'Volume_mm3_Right-Putamen', 'ThickAvg_lh_superiorfrontal', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_insula', 'MeanCurv_rh_transversetemporal', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_medialorbitofrontal', 'ThickAvg_lh_precentral', 'lh_MeanThickness', 'GrayVol_lh_precentral', 'GrayVol_rh_postcentral', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_superiorfrontal', 'rh_MeanThickness', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_rh_supramarginal', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_middletemporal', 'rhCortexVol', 'TotalGrayVol', 'GrayVol_rh_caudalmiddlefrontal', 'FoldInd_rh_inferiorparietal', 'GrayVol_rh_supramarginal', 'GrayVol_lh_parsorbitalis', 'GrayVol_rh_rostralmiddlefrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_superiortemporal', 'ThickAvg_lh_medialorbitofrontal', 'GrayVol_rh_superiorparietal', 'GrayVol_lh_precuneus', 'ThickAvg_rh_superiortemporal', 'GrayVol_lh_inferiorparietal', 'FoldInd_rh_parsopercularis', 'FoldInd_lh_postcentral']"
28,features_nfeats_40_split_8,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'Volume_mm3_Right-Putamen', 'ThickAvg_lh_superiorfrontal', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_insula', 'ThickStd_rh_superiorfrontal', 'Volume_mm3_4th-Ventricle', 'FoldInd_lh_inferiorparietal', 'GrayVol_lh_insula', 'ThickAvg_lh_precentral', 'ThickAvg_lh_parstriangularis', 'GrayVol_lh_lateralorbitofrontal', 'lhCortexVol', 'GrayVol_rh_superiorfrontal', 'FoldInd_lh_parstriangularis', 'FoldInd_rh_rostralmiddlefrontal', 'GrayVol_rh_supramarginal', 'ThickAvg_rh_precentral', 'lh_MeanThickness', 'GrayVol_rh_medialorbitofrontal', 'ThickAvg_lh_parsopercularis', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_lh_medialorbitofrontal', 'GrayVol_rh_parsopercularis', 'rh_MeanThickness', 'Volume_mm3_Left-Accumbens-area', 'GrayVol_rh_caudalmiddlefrontal', 'GrayVol_lh_inferiorparietal', 'GrayVol_lh_superiortemporal', 'ThickAvg_rh_cuneus', 'GrayVol_rh_posteriorcingulate', 'GrayVol_rh_rostralmiddlefrontal', 'ThickAvg_rh_supramarginal', 'GrayVol_rh_inferiorparietal', 'ThickAvg_lh_paracentral', 'rhCortexVol']"
29,features_nfeats_40_split_9,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'Volume_mm3_Right-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_middletemporal', 'ThickAvg_lh_parstriangularis', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'lhCortexVol', 'rh_MeanThickness', 'ThickStd_rh_superiorfrontal', 'GrayVol_lh_parsorbitalis', 'GrayVol_lh_rostralmiddlefrontal', 'lh_MeanThickness', 'ThickAvg_lh_precentral', 'SurfArea_lh_lateralorbitofrontal', 'GrayVol_lh_inferiorparietal', 'GrayVol_lh_supramarginal', 'GrayVol_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_posteriorcingulate', 'GrayVol_rh_caudalmiddlefrontal', 'GrayVol_rh_rostralmiddlefrontal', 'GrayVol_rh_postcentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_insula', 'GrayVol_rh_medialorbitofrontal', 'ThickAvg_lh_paracentral', 'GrayVol_lh_superiortemporal', 'GrayVol_rh_lateralorbitofrontal', 'GrayVol_lh_precuneus', 'GrayVol_rh_inferiortemporal', 'FoldInd_lh_lateralorbitofrontal', 'SurfArea_lh_rostralmiddlefrontal']"
