,features_tag,features
10,features_nfeats_30_split_0,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'ThickStd_lh_precentral', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'GrayVol_lh_lateralorbitofrontal', 'lh_MeanThickness', 'ThickAvg_rh_medialorbitofrontal', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_insula', 'FoldInd_rh_rostralmiddlefrontal', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_parstriangularis', 'SurfArea_lh_lateralorbitofrontal', 'GrayVol_rh_postcentral', 'GrayVol_lh_inferiorparietal', 'Volume_mm3_Left-Accumbens-area', 'lhCortexVol', 'ThickAvg_lh_superiorfrontal', 'GrayVol_rh_superiorfrontal', 'GrayVol_rh_supramarginal', 'ThickAvg_rh_paracentral', 'ThickAvg_rh_lingual', 'GrayVol_rh_middletemporal', 'rhCortexVol', 'rh_MeanThickness', 'ThickAvg_rh_postcentral', 'TotalGrayVol']"
11,features_nfeats_30_split_1,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'Volume_mm3wm-lh-lateraloccipital', 'Volume_mm3_Left-Putamen', 'ThickStd_lh_medialorbitofrontal', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_parsopercularis', 'lhCortexVol', 'lh_MeanThickness', 'Volume_mm3_Right-Accumbens-area', 'FoldInd_rh_rostralmiddlefrontal', 'Volume_mm3_Left-Thalamus-Proper', 'SubCortGrayVol', 'Volume_mm3_Right-Caudate', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_insula', 'GrayVol_rh_insula', 'GrayVol_lh_parstriangularis', 'GrayVol_lh_inferiorparietal', 'Volume_mm3_Right-Putamen', 'ThickAvg_rh_parsopercularis', 'ThickAvg_lh_paracentral', 'GrayVol_lh_supramarginal', 'GrayVol_rh_supramarginal', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_rh_lingual', 'ThickAvg_lh_insula', 'ThickAvg_rh_medialorbitofrontal', 'ThickAvg_rh_precentral', 'ThickStd_rh_superiorfrontal']"
12,features_nfeats_30_split_2,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'Volume_mm3wm-lh-lateraloccipital', 'GrayVol_lh_lateralorbitofrontal', 'ThickStd_lh_medialorbitofrontal', 'ThickAvg_rh_parsopercularis', 'lh_MeanThickness', 'GrayVol_rh_precentral', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_insula', 'ThickAvg_lh_insula', 'ThickAvg_rh_precentral', 'FoldInd_rh_rostralmiddlefrontal', 'Volume_mm3_Right-Thalamus-Proper', 'Volume_mm3_Right-Caudate', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_rostralanteriorcingulate', 'CortexVol', 'GrayVol_rh_parstriangularis', 'GrayVol_rh_supramarginal', 'FoldInd_rh_postcentral', 'Volume_mm3_Left-Accumbens-area', 'ThickAvg_lh_superiorfrontal', 'GrayVol_rh_superiorfrontal', 'ThickAvg_lh_parstriangularis', 'GrayVol_rh_caudalmiddlefrontal', 'ThickAvg_rh_insula', 'FoldInd_lh_superiorparietal']"
13,features_nfeats_30_split_3,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'ThickAvg_lh_rostralanteriorcingulate', 'Volume_mm3_Right-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'lh_MeanThickness', 'GrayVol_rh_middletemporal', 'ThickAvg_lh_precentral', 'GrayVol_rh_precentral', 'GrayVol_rh_insula', 'ThickAvg_rh_insula', 'ThickAvg_rh_medialorbitofrontal', 'GrayVol_lh_parstriangularis', 'ThickAvg_lh_parstriangularis', 'Volume_mm3_Left-Accumbens-area', 'FoldInd_rh_rostralmiddlefrontal', 'ThickAvg_rh_parsopercularis', 'GrayVol_rh_postcentral', 'Volume_mm3_Left-Putamen', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_rh_supramarginal', 'SurfArea_lh_rostralmiddlefrontal', 'GrayVol_rh_superiorparietal', 'ThickAvg_rh_precentral', 'GrayVol_rh_superiorfrontal']"
14,features_nfeats_30_split_4,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'Volume_mm3_Left-Thalamus-Proper', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'GrayVol_rh_lateralorbitofrontal', 'ThickAvg_rh_rostralanteriorcingulate', 'Volume_mm3_Left-Accumbens-area', 'ThickAvg_lh_rostralmiddlefrontal', 'FoldInd_lh_postcentral', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_precentral', 'GrayVol_rh_medialorbitofrontal', 'ThickAvg_rh_insula', 'GrayVol_rh_middletemporal', 'rhCortexVol', 'FoldInd_rh_rostralmiddlefrontal', 'GrayVol_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_supramarginal', 'ThickAvg_rh_superiorfrontal', 'SurfArea_lh_inferiorparietal', 'ThickAvg_lh_parstriangularis', 'GausCurv_rh_isthmuscingulate', 'ThickAvg_lh_paracentral', 'lh_MeanThickness', 'ThickAvg_rh_medialorbitofrontal', 'GrayVol_rh_rostralmiddlefrontal']"
15,features_nfeats_30_split_5,"['GrayVol_lh_superiorfrontal', 'ThickAvg_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'MeanCurv_rh_transversetemporal', 'ThickAvg_rh_medialorbitofrontal', 'ThickStd_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_lateralorbitofrontal', 'ThickAvg_lh_parstriangularis', 'ThickAvg_lh_paracentral', 'Volume_mm3_Left-Accumbens-area', 'ThickAvg_lh_insula', 'SurfArea_rh_middletemporal', 'CortexVol', 'FoldInd_rh_rostralmiddlefrontal', 'GrayVol_rh_supramarginal', 'ThickAvg_lh_parsopercularis', 'GrayVol_lh_inferiorparietal', 'FoldInd_rh_precuneus', 'GrayVol_rh_superiorfrontal', 'SurfArea_lh_lateralorbitofrontal', 'lh_MeanThickness', 'GrayVol_lh_postcentral', 'TotalGrayVol', 'ThickAvg_lh_precentral', 'GrayVol_rh_inferiorparietal', 'ThickAvg_rh_supramarginal']"
16,features_nfeats_30_split_6,"['GrayVol_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'ThickAvg_rh_medialorbitofrontal', 'ThickAvg_lh_insula', 'Volume_mm3_Left-Accumbens-area', 'FoldInd_lh_rostralmiddlefrontal', 'ThickAvg_lh_parstriangularis', 'GrayVol_rh_postcentral', 'ThickAvg_rh_precentral', 'lh_MeanThickness', 'GrayVol_rh_middletemporal', 'rhCortexVol', 'GrayVol_rh_supramarginal', 'GrayVol_rh_superiorfrontal', 'GrayVol_rh_inferiorparietal', 'GrayVol_rh_inferiortemporal', 'FoldInd_rh_rostralmiddlefrontal', 'GrayVol_lh_caudalanteriorcingulate', 'GrayVol_lh_lateralorbitofrontal', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_rh_paracentral', 'GrayVol_lh_precuneus', 'GrayVol_rh_posteriorcingulate', 'GrayVol_lh_superiorparietal', 'GrayVol_lh_parstriangularis', 'ThickAvg_lh_precentral']"
17,features_nfeats_30_split_7,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'Volume_mm3_Right-Putamen', 'ThickAvg_lh_superiorfrontal', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_insula', 'GrayVol_rh_middletemporal', 'ThickAvg_lh_parstriangularis', 'GrayVol_rh_insula', 'ThickAvg_lh_precentral', 'lh_MeanThickness', 'GrayVol_lh_precentral', 'ThickAvg_rh_medialorbitofrontal', 'GrayVol_rh_postcentral', 'ThickAvg_rh_insula', 'GrayVol_rh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'ThickAvg_rh_parsopercularis', 'ThickAvg_rh_supramarginal', 'SurfArea_lh_lateralorbitofrontal', 'FoldInd_rh_parsopercularis', 'TotalGrayVol', 'rhCortexVol', 'GrayVol_rh_caudalmiddlefrontal', 'GrayVol_rh_supramarginal', 'GrayVol_lh_parsorbitalis', 'GrayVol_lh_parstriangularis']"
18,features_nfeats_30_split_8,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'Volume_mm3_Right-Putamen', 'ThickAvg_lh_superiorfrontal', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_insula', 'lh_MeanThickness', 'Volume_mm3_4th-Ventricle', 'GrayVol_lh_insula', 'ThickAvg_rh_posteriorcingulate', 'ThickAvg_lh_precentral', 'TotalGrayVol', 'GrayVol_lh_lateralorbitofrontal', 'FoldInd_lh_inferiorparietal', 'GrayVol_rh_superiorfrontal', 'ThickAvg_lh_parsopercularis', 'ThickAvg_lh_medialorbitofrontal', 'GrayVol_lh_parstriangularis', 'FoldInd_rh_rostralmiddlefrontal', 'Volume_mm3_Left-Accumbens-area', 'ThickAvg_lh_parstriangularis', 'ThickAvg_rh_parsopercularis', 'GrayVol_rh_rostralmiddlefrontal', 'GrayVol_lh_superiortemporal', 'ThickAvg_rh_precentral', 'GrayVol_rh_supramarginal', 'CortexVol']"
19,features_nfeats_30_split_9,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'ThickAvg_rh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'Volume_mm3_Right-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_parstriangularis', 'Volume_mm3_Left-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_posteriorcingulate', 'GrayVol_lh_insula', 'ThickAvg_lh_precentral', 'FoldInd_rh_rostralmiddlefrontal', 'CortexVol', 'GrayVol_lh_parsorbitalis', 'GrayVol_lh_supramarginal', 'ThickAvg_lh_superiorfrontal', 'lh_MeanThickness', 'SurfArea_lh_lateralorbitofrontal', 'GrayVol_rh_superiorfrontal', 'GrayVol_lh_inferiorparietal', 'rh_MeanThickness', 'GrayVol_rh_medialorbitofrontal', 'GrayVol_rh_postcentral', 'GrayVol_rh_supramarginal', 'ThickAvg_lh_parsopercularis', 'GrayVol_lh_rostralmiddlefrontal', 'SurfArea_lh_rostralmiddlefrontal']"
